CEDULA_ANONIMIZADA;FECHA;CODIGO_EMPRESA;ID_GENERO;ID_ESTADO_CIVIL;FECHA_NACIMIENTO;EDAD;CODIGO_LOCALIDAD;TIPO_NOMINA;FECHA_INGRESO;FECHA_INICIO_CONTRATO;ID_CARGO;TIPO_CARGO;NIVEL_CARGO;CATEGORIA_CARGO;TIPO_AREA;ID_CENTRO_COSTO;SENAL_SINDICALIZADO;CLASE_EMPLEADO;CLASE_NOMINA;SUBSIDIO_TRANSPORTE;PORCENTAJE_RIESGO;SALARIO;COMPENSACION_VARIABLE;PORCENT_COMP_VARIABLE;TOTAL_SALARIO;UBICACION_ANONIMIZADA;FECHA FIN CONTRATO;CAUSA NOMBRE;TIPO DE RETIRO;RETIRO
50;31/12/2017;21;F;SOLTERO;14/08/1998;22;999999;NO DEFINIDO;1/06/2017;1/06/2017;999999;SOPORTE;7;7;PRACTICANTES;110109;N;NO DEFINIDO;0;N;999999;737717;0;0;737717;7;31/12/2040;NO APLICA;NO APLICA;0
158;31/12/2017;21;F;SOLTERO;21/08/1997;23;999999;NO DEFINIDO;16/06/2017;16/06/2017;999999;SOPORTE;7;7;PRACTICANTES;110131;N;NO DEFINIDO;0;N;999999;737717;0;0;737717;7;31/12/2040;NO APLICA;NO APLICA;0
215;31/12/2017;21;M;SOLTERO;12/04/1999;21;999999;NO DEFINIDO;19/04/2017;19/04/2017;999999;SOPORTE;7;7;PRACTICANTES;110109;N;NO DEFINIDO;0;N;999999;737717;0;0;737717;7;31/12/2040;NO APLICA;NO APLICA;0
279;31/12/2017;21;F;SOLTERO;15/07/1995;25;999999;NO DEFINIDO;4/07/2017;4/07/2017;999999;SOPORTE;7;7;PRACTICANTES;110148;N;NO DEFINIDO;0;N;999999;1475434;0;0;1475434;5;31/12/2040;NO APLICA;NO APLICA;0
319;31/12/2017;21;F;SOLTERO;21/01/1994;26;999999;NO DEFINIDO;16/01/2017;16/01/2017;999999;SOPORTE;7;7;PRACTICANTES;310111;N;NO DEFINIDO;0;N;999999;1475434;0;0;1475434;5;31/12/2040;NO APLICA;NO APLICA;0
376;31/12/2017;21;F;SOLTERO;13/12/1998;22;999999;NO DEFINIDO;3/04/2017;3/04/2017;999999;SOPORTE;7;7;PRACTICANTES;110109;N;NO DEFINIDO;0;N;999999;737717;0;0;737717;7;31/12/2040;NO APLICA;NO APLICA;0
382;31/12/2017;21;M;UNION LIBRE;26/03/1988;32;999999;NO DEFINIDO;1/08/2017;1/08/2017;999999;SOPORTE;7;7;PRACTICANTES;110109;N;NO DEFINIDO;0;N;999999;737717;0;0;737717;7;31/12/2040;NO APLICA;NO APLICA;0
390;31/12/2017;21;F;CASADO;29/05/1992;28;999999;NO DEFINIDO;16/06/2017;16/06/2017;999999;SOPORTE;7;7;PRACTICANTES;110401;N;NO DEFINIDO;0;N;999999;737717;0;0;737717;7;31/12/2040;NO APLICA;NO APLICA;0
577;31/12/2017;21;M;SOLTERO;21/05/1990;30;999999;NO DEFINIDO;19/04/2017;19/04/2017;999999;SOPORTE;7;7;PRACTICANTES;110109;N;NO DEFINIDO;0;N;999999;737717;0;0;737717;7;31/12/2040;NO APLICA;NO APLICA;0
625;31/12/2017;21;F;SOLTERO;13/01/1999;21;999999;NO DEFINIDO;1/08/2017;1/08/2017;999999;SOPORTE;7;7;PRACTICANTES;150109;N;NO DEFINIDO;0;N;999999;737717;0;0;737717;2;31/12/2040;NO APLICA;NO APLICA;0
777;31/12/2017;21;F;SOLTERO;12/11/1995;25;999999;NO DEFINIDO;7/07/2017;7/07/2017;999999;SOPORTE;7;7;PRACTICANTES;220178;N;NO DEFINIDO;0;N;999999;737717;0;0;737717;7;31/12/2040;NO APLICA;NO APLICA;0
799;31/12/2017;21;F;SOLTERO;24/08/1991;29;999999;NO DEFINIDO;24/07/2017;24/07/2017;999999;SOPORTE;7;7;PRACTICANTES;110167;N;NO DEFINIDO;0;N;999999;1475434;0;0;1475434;5;31/12/2040;NO APLICA;NO APLICA;0
821;31/12/2017;21;F;SOLTERO;7/08/1992;28;999999;NO DEFINIDO;1/08/2017;1/08/2017;999999;SOPORTE;7;7;PRACTICANTES;110144;N;NO DEFINIDO;0;N;999999;1475434;0;0;1475434;7;31/12/2040;NO APLICA;NO APLICA;0
880;31/12/2017;41;M;SOLTERO;19/08/1997;23;999999;NO DEFINIDO;19/01/2017;19/01/2017;999999;SOPORTE;7;7;PRACTICANTES;110109;N;NO DEFINIDO;0;N;999999;737717;0;0;737717;9;31/12/2040;NO APLICA;NO APLICA;0
951;31/12/2017;21;M;SOLTERO;28/11/1995;25;999999;NO DEFINIDO;16/04/2017;16/04/2017;999999;SOPORTE;7;7;PRACTICANTES;110109;N;NO DEFINIDO;0;N;999999;737717;0;0;737717;7;31/12/2040;NO APLICA;NO APLICA;0
1038;31/12/2017;21;M;SOLTERO;16/04/1997;23;999999;NO DEFINIDO;1/08/2017;1/08/2017;999999;SOPORTE;7;7;PRACTICANTES;150156;N;NO DEFINIDO;0;N;999999;737717;0;0;737717;2;31/12/2040;NO APLICA;NO APLICA;0
893;31/01/2018;21;M;CASADO;29/03/1989;31;1520;LEY 50 NOMINAL TERMINO FIJO;16/05/2017;16/05/2017;84147;SOPORTE;6;9;PLANTA;220140;N;DIRECTOS DE PRODUCCION;1;S;4.35;1082200;0;0;1082200;9;31/12/2040;NO APLICA;NO APLICA;0
952;31/01/2018;21;M;UNION LIBRE;27/05/1992;28;1520;LEY 50 NOMINAL TERMINO FIJO;18/04/2017;18/04/2017;84147;SOPORTE;6;9;PLANTA;220140;N;DIRECTOS DE PRODUCCION;1;S;4.35;1082200;0;0;1082200;9;31/12/2040;NO APLICA;NO APLICA;0
1131;31/01/2018;21;M;SOLTERO;8/02/1956;64;1520;LEY 50 NOMINAL TERMINO INDEFIN;25/01/1993;25/01/1993;84159;SOPORTE;6;9;PLANTA;220140;S;DIRECTOS DE PRODUCCION;1;S;2436;1371932;0;0;1371932;9;31/12/2040;NO APLICA;NO APLICA;0
1169;31/01/2018;21;M;CASADO;2/08/1963;57;1520;LEY 50 NOMINAL TERMINO INDEFIN;12/02/1992;12/02/1992;84176;SOPORTE;6;9;PLANTA;220193;S;DIRECTOS DE PRODUCCION;1;S;2436;1424080;0;0;1424080;9;31/12/2040;NO APLICA;NO APLICA;0
1990;31/01/2018;21;M;CASADO;18/07/1976;44;1520;LEY 50 NOMINAL TERMINO INDEFIN;3/08/2015;3/08/2015;84227;CLAVE;4;14;ADMINISTRACION;110250;N;ADMINISTRACION CENTRAL;2;S;1044;3626100;0;0;3626100;9;31/12/2040;NO APLICA;NO APLICA;0
1552;31/10/2018;21;M;CASADO;17/04/1957;63;1520;LEY 50 NOMINAL TERMINO INDEFIN;19/06/1995;19/06/1995;84150;SOPORTE;5;11;PLANTA;220196;S;DIRECTOS DE PRODUCCION;1;S;2436;1478081;0;0;1478081;9;31/12/2040;NO APLICA;NO APLICA;0
245;31/01/2019;21;F;SOLTERO;29/06/1988;32;1502;LEY 50 NOMINAL TERMINO INDEFIN;1/08/2014;1/08/2014;84069;SOPORTE;6;9;ADMINISTRACION;110117;N;ADMINISTRACION CENTRAL;2;S;0.522;1503700;0;0;1503700;5;31/12/2040;NO APLICA;NO APLICA;0
